head,rel,tail
乳头乳晕湿疹样癌,别名,佩吉特病
乳腺X线摄影,适应人群,无症状人群
乳腺X线摄影,适应人群,筛查性人群
乳腺X线摄影,适应人群,诊断性患者
乳腺X线摄影,禁忌人群,妊娠期女性
乳腺超声检查,适应人群,无症状的高危人群
乳腺超声检查,适应人群,疑诊乳腺病变的人群
乳腺核磁共振成像,适应人群,高危人群
乳腺核磁共振成像,禁忌人群,妊娠期妇女
正电子发射计算机体层成像,别名,positron emission tomography-computed tomography，PET-CT
正电子发射计算机体层成像,适应人群,妊娠和哺乳期妇女
糖类抗原15-3,isa,肿瘤标志物检测
癌胚抗原,isa,肿瘤标志物检测
空芯针穿刺活检,isa,肿瘤穿刺细胞学检查与组织活检
真空辅助穿刺活检,isa,肿瘤穿刺细胞学检查与组织活检
乳房组织切除术，活组织检查,isa,肿瘤穿刺细胞学检查与组织活检
乳房切除术,isa,肿瘤穿刺细胞学检查与组织活检
前哨淋巴结活检,isa,肿瘤穿刺细胞学检查与组织活检
前哨淋巴结活检,别名,Sentinellymphnodebiopsy，SLNB
非浸润性乳腺癌,分型,高级别导管内癌
非浸润性乳腺癌,分型,旺炽型非浸润性乳腺癌
非浸润性乳腺癌,分型,透明型非浸润性乳腺癌
非浸润性乳腺癌,分型,肌样细胞型非浸润性乳腺癌
非浸润性乳腺癌,别名,LCIS
导管原位癌,别名,DCIS
导管原位癌,分级,低级别导管原位癌
导管原位癌,分级,中级别导管原位癌
导管原位癌,分级,高级别导管原位癌
早期乳腺癌保乳术后放射治疗,isa,放射治疗
改良根治术后放射治疗,isa,放射治疗
特殊情况下的放射治疗,isa,放射治疗
新辅助化疗后术后放射治疗,isa,特殊情况下的放射治疗
新辅助化疗后保乳术后放疗,isa,新辅助化疗后术后放射治疗
新辅助化疗后改良根治术后放疗,isa,新辅助化疗后术后放射治疗
乳腺重建术后放射治疗,isa,特殊情况下的放射治疗
局部区域复发后的放射治疗,isa,特殊情况下的放射治疗
乳腺癌辅助化疗,isa,化疗
乳腺癌辅助化疗,适应人群,具有高危复发风险因素的患者
新辅助化疗,isa,化疗
晚期乳腺癌,isa,乳腺癌
多柔比星,isa,蒽环类
表柔比星,isa,蒽环类
吡柔比星,isa,蒽环类
聚乙二醇化脂质体多柔比星,isa,蒽环类
紫杉醇,isa,紫杉类
多西他赛,isa,紫杉类
白蛋白结合型紫杉醇,isa,紫杉类
卡培他滨,isa,抗代谢药
吉西他滨,isa,抗代谢药
长春瑞滨,isa,非紫杉类微管形成抑制剂
艾立布林,isa,非紫杉类微管形成抑制剂
优替德隆,isa,非紫杉类微管形成抑制剂
辅助内分泌治疗,isa,内分泌治疗
辅助内分泌治疗,禁忌人群,孕妇
非甾体类,isa,芳香化酶抑制剂
阿那曲唑,isa,非甾体类
来曲唑,isa,非甾体类
甾体类,isa,芳香化酶抑制剂
依西美坦,isa,甾体类
ER调变剂,isa,芳香化酶抑制剂
他莫昔芬,isa,ER调变剂
托瑞米芬,isa,ER调变剂
ER下调剂,isa,芳香化酶抑制剂
氟维司群,isa,ER下调剂
孕酮类药品,isa,芳香化酶抑制剂
雄激素,isa,芳香化酶抑制剂
雌激素,isa,芳香化酶抑制剂
甲地孕酮,isa,孕酮类药品
氟甲睾酮,isa,雄激素
乙炔基雌二醇,isa,雌激素
术后辅助靶向治疗,isa,靶向治疗
术前新辅助靶向治疗,isa,靶向治疗
